City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
340,saudarkrokur,65.7461,-19.6394,-3.94,96,100,3.5,IS,1707971230
341,brokopondo,4.75,-55.1667,25.25,72,47,4.65,SR,1707971230
342,lycksele,64.5954,18.6735,-8.07,93,100,2.06,SE,1707971231
343,cuichapa,18.7667,-96.8667,19.39,91,99,0.42,MX,1707971231
344,north bend,43.4065,-124.2243,10.48,87,100,5.14,US,1707971225
345,port alfred,-33.5906,26.891,19.54,94,100,0.89,ZA,1707971231
346,embu,-23.6489,-46.8522,20.42,97,100,2.25,BR,1707971231
347,oyugis,-0.509,34.7358,18.32,87,94,1.51,KE,1707971231
348,saint-louis,16.3333,-15.0,24.57,38,84,5.02,SN,1707971231
349,aitape,-3.1374,142.3475,28.69,75,100,4.19,PG,1707971232
350,sergeyevka,53.88,67.4158,-31.74,98,20,3.57,KZ,1707971232
351,zaozersk,69.4005,32.4476,-15.8,85,45,6.27,RU,1707971232
352,kupang,-10.1667,123.5833,30.32,79,75,2.57,ID,1707971232
353,dawei,14.0833,98.2,32.86,36,17,2.38,MM,1707971232
354,nema,57.5067,50.5011,-34.97,100,6,1.88,RU,1707971233
355,itamaraju,-17.0392,-39.5311,23.37,98,100,1.44,BR,1707971233
356,paragominas,-2.9667,-47.4833,22.81,99,100,1.13,BR,1707971233
357,timbuktu,16.7735,-3.0074,23.12,15,3,4.04,ML,1707971233
358,pyay,18.8167,95.2167,30.91,22,100,3.36,MM,1707971233
359,pindiga,9.9833,10.9333,19.69,21,5,3.66,NG,1707971233
360,kapoeta,4.7717,33.5903,28.73,40,51,2.65,SS,1707971233
361,khandud,36.9513,72.318,-5.94,59,14,0.87,AF,1707971233
362,san antonio de pale,-1.4014,5.6325,28.9,78,93,4.16,GQ,1707971234
363,labytnangi,66.6572,66.4183,-24.02,92,100,1.39,RU,1707971234
364,tura,25.5198,90.2201,25.01,40,55,0.83,IN,1707971234
365,santa ana,33.7456,-117.8678,14.33,78,20,1.54,US,1707971133
366,kodinsk,58.6881,99.1844,-10.87,93,100,0.88,RU,1707971234
367,ukwa,21.9667,80.4667,24.03,40,7,1.29,IN,1707971234
368,guasdualito,7.2424,-70.7324,28.35,55,95,1.77,VE,1707971235
369,kuloy,61.0305,42.4925,-26.62,96,7,2.95,RU,1707971235
370,igarka,67.4667,86.5833,-29.7,93,24,3.13,RU,1707971235
371,ust'-barguzin,53.45,108.9833,-16.63,73,100,3.0,RU,1707971236
372,kruisfontein,-34.0033,24.7314,18.27,92,100,4.4,ZA,1707971159
373,balabac,7.9868,117.0645,28.2,71,24,7.26,PH,1707971236
374,zapala,-38.8992,-70.0544,23.12,33,4,0.17,AR,1707971236
375,kiffa,16.6166,-11.4045,25.63,8,92,3.98,MR,1707971236
376,kununurra,-15.7667,128.7333,35.99,52,100,2.06,AU,1707971192
377,kristiansund,63.1115,7.732,3.36,87,100,1.03,NO,1707971237
378,al khaburah,23.9886,57.0984,22.13,79,0,1.56,OM,1707971237
379,berkovitsa,43.2361,23.1258,0.29,75,41,1.41,BG,1707971237
380,choma,-16.8065,26.9531,15.56,64,1,1.68,ZM,1707971237
381,dawson creek,55.7666,-120.2362,-13.2,78,0,1.03,CA,1707971237
382,muncar,-8.4333,114.3333,30.73,68,21,1.9,ID,1707971237
383,namtsy,62.7161,129.6658,-33.25,92,99,0.33,RU,1707971237
384,tashtagol,52.7657,87.8894,-15.49,86,100,3.86,RU,1707971238
385,waingapu,-9.6567,120.2641,30.25,70,19,2.29,ID,1707971238
386,shizunai-furukawacho,42.3339,142.3669,4.71,70,90,6.36,JP,1707971238
387,ulsteinvik,62.3432,5.8487,4.86,89,96,0.89,NO,1707971238
388,beacon square,28.2086,-82.7554,16.19,77,14,0.45,US,1707971238
389,mersing,2.4312,103.8405,27.95,78,40,6.17,MY,1707971238
390,twon-brass,4.3151,6.2418,28.46,85,100,4.08,NG,1707971238
391,tobelo,1.7284,128.0095,28.3,66,76,2.79,ID,1707971238
392,pontianak,-0.0333,109.3333,28.99,83,75,1.54,ID,1707971238
393,farafangana,-22.8167,47.8333,23.28,93,100,2.04,MG,1707971239
394,salinopolis,-0.6136,-47.3561,26.14,87,57,4.94,BR,1707971239
395,villa del totoral,-30.8167,-63.7167,16.17,61,0,3.01,AR,1707971239
396,wenling,28.3669,121.36,17.25,68,68,1.21,CN,1707971128
397,ebon,4.582,168.6964,27.87,76,78,8.97,MH,1707971239
398,saint-philippe,-21.3585,55.7679,28.77,87,61,5.62,RE,1707971239
399,altay,47.8667,88.1167,-4.39,91,100,3.07,CN,1707971239
400,angaur state,6.906,134.13,27.13,70,20,7.56,PW,1707971240
401,laojunmiao,39.8333,97.7333,4.01,16,9,0.65,CN,1707971240
402,berezniki,59.4152,56.8124,-39.48,100,32,1.22,RU,1707971240
403,al jawf,29.5,38.75,9.19,61,0,2.31,SA,1707971241
404,akureyri,65.6835,-18.0878,-1.04,86,100,4.12,IS,1707971241
405,bakchar,57.0186,82.0711,-20.63,92,100,4.41,RU,1707971241
406,markaz-e hukumat-e darweshan,31.1323,64.1934,15.29,19,0,1.99,AF,1707971241
407,remire-montjoly,4.9167,-52.2667,27.02,78,75,4.12,GF,1707971242
408,santana,-0.0583,-51.1817,25.1,94,100,2.06,BR,1707971242
409,borogontsy,62.6683,131.1683,-33.3,93,100,0.78,RU,1707971242
410,douz,33.4663,9.0203,11.95,47,5,1.94,TN,1707971242
411,magione,43.1439,12.2069,5.08,85,0,0.99,IT,1707971242
412,cidade velha,14.9167,-23.6167,22.26,78,20,7.72,CV,1707971242
413,dolores,-36.3132,-57.6792,14.04,91,26,2.94,AR,1707971062
414,uray,60.1247,64.7758,-28.4,89,6,5.36,RU,1707971242
415,qamdo,31.1667,97.2333,-4.9,46,100,1.63,CN,1707971243
416,argostolion,38.1811,20.489,9.86,57,0,2.7,GR,1707971243
417,ilhabela,-23.7781,-45.3581,24.57,94,100,3.82,BR,1707970977
418,panacan,9.2463,118.4082,28.62,67,10,5.25,PH,1707971243
419,freetown,8.484,-13.2299,24.84,83,60,6.17,SL,1707971243
420,balaklava,44.5,33.6,7.43,73,100,2.99,UA,1707971243
421,chitipa,-9.7024,33.2697,17.41,99,100,0.6,MW,1707971243
422,hami,42.8,93.45,3.2,19,39,0.74,CN,1707971243
423,lejanias,3.5251,-74.0216,22.92,70,93,2.33,CO,1707971243
424,villa ojo de agua,-29.5,-63.6938,16.32,69,0,3.01,AR,1707971244
425,ponta delgada,37.7333,-25.6667,16.4,72,20,6.69,PT,1707971244
426,taksimo,56.3444,114.8794,-24.6,93,92,1.19,RU,1707971244
427,loralai,30.3705,68.598,12.4,26,0,0.99,PK,1707971244
428,susuman,62.7833,148.1667,-30.18,89,100,1.23,RU,1707971244
429,constitucion,-35.3333,-72.4167,14.01,92,27,1.18,CL,1707971244
430,levuka,50.1834,-105.4011,-8.16,94,98,3.46,CA,1707971244
431,verkhniy tagil,57.3733,59.9556,-30.01,95,59,3.61,RU,1707971244
432,fuqing,25.725,119.3794,20.87,49,4,1.67,CN,1707971245
433,bontang,0.1333,117.5,29.86,69,12,6.03,ID,1707971245
434,newport,51.5877,-2.9984,13.58,96,100,6.06,GB,1707971245
435,skagen,57.7209,10.5839,3.64,96,100,4.66,DK,1707971245
436,rio grande,-32.035,-52.0986,21.08,60,52,6.21,BR,1707971245
437,rundu,-17.9333,19.7667,20.61,46,8,1.76,NA,1707971245
438,peace river,56.2501,-117.286,-15.83,85,0,2.06,CA,1707971245
439,dapchi,12.4904,11.4944,17.87,27,54,4.1,NG,1707971245
440,dongola,19.1667,30.4833,16.79,30,82,6.35,SD,1707971246
441,kerikeri,-35.2268,173.9474,22.7,58,42,3.36,NZ,1707971246
442,nuku'alofa,-21.1333,-175.2,28.19,78,40,7.2,TO,1707971246
443,tobruk,32.0836,23.9764,14.18,72,93,9.0,LY,1707971246
444,walvis bay,-22.9575,14.5053,17.53,88,100,1.03,NA,1707971246
445,singapur,1.2897,103.8501,30.02,92,75,3.09,SG,1707971042
446,salahonda,2.1019,-78.7217,27.17,85,88,1.29,CO,1707971246
447,plastun,44.7561,136.2939,-5.06,30,100,4.1,RU,1707971246
448,kasba,25.85,87.55,21.96,62,5,1.44,IN,1707971246
449,tamandare,-8.7597,-35.1047,26.13,88,100,1.97,BR,1707971247
450,ryotsu-minato,38.0833,138.4333,12.9,75,100,4.11,JP,1707971247
451,mumbwa,-14.9783,27.0619,15.55,81,10,1.58,ZM,1707971247
452,orshanka,56.9161,47.8933,-28.97,96,5,2.61,RU,1707971247
453,guarapari,-20.6667,-40.4975,23.7,95,100,3.73,BR,1707971247
454,kathu,7.9178,98.3332,30.9,70,19,5.59,TH,1707971247
455,gilgit,35.9221,74.3087,3.17,32,7,1.42,PK,1707971247
456,miles city,46.4083,-105.8406,-6.46,79,100,1.54,US,1707971247
457,alesund,62.4723,6.1549,4.86,93,75,2.57,NO,1707971248
458,at taj,24.2049,23.2857,10.4,63,10,5.51,LY,1707971248
459,kapiri mposhi,-13.9652,28.6809,16.43,94,71,1.72,ZM,1707971248
460,itacare,-14.2775,-38.9967,24.04,87,44,1.23,BR,1707971248
461,sassandra,4.95,-6.0833,26.39,94,70,3.0,CI,1707971248
462,novodvinsk,64.4165,40.8122,-22.9,90,14,3.81,RU,1707971248
463,ugoofaaru,5.6667,73.0,28.11,75,43,4.08,MV,1707971248
464,kisangani,0.5167,25.2,21.91,94,100,0.49,CD,1707971248
465,la passe,45.5549,-0.8967,13.13,71,100,6.65,FR,1707971248
466,nicoya,10.1483,-85.452,24.4,72,50,4.6,CR,1707971249
467,banda aceh,5.5577,95.3222,30.3,68,19,6.21,ID,1707971000
468,ambalangoda,6.2355,80.0538,27.98,76,93,1.95,LK,1707971249
469,taltal,-25.4,-70.4833,20.74,79,5,0.92,CL,1707971249
470,fortaleza,-3.7227,-38.5247,27.34,89,75,1.54,BR,1707971183
471,quellon,-43.1167,-73.6167,12.27,96,46,1.83,CL,1707971250
472,faro,37.0194,-7.9322,17.88,82,40,3.09,PT,1707971037
473,celestun,20.8667,-90.4,22.07,77,6,7.08,MX,1707971250
474,sicuani,-14.2694,-71.2261,9.77,87,100,0.7,PE,1707971250
475,brisas de zicatela,15.8369,-97.0419,26.07,79,83,2.25,MX,1707971250
476,adi keyh,14.8444,39.3772,13.91,32,10,1.76,ER,1707971250
477,hofors,60.5457,16.2867,-0.57,86,100,1.65,SE,1707971250
478,alor gajah,2.3804,102.2089,28.23,89,40,3.09,MY,1707971250
479,rancho palos verdes,33.7445,-118.387,13.88,82,23,2.24,US,1707971250
480,salinas,36.6777,-121.6555,14.17,87,100,1.54,US,1707971098
